year,injdur,pc
2008,20,0.0182149362477231
2008,21,0.0145719489981785
2008,22,0.0163934426229508
2008,23,0.0150273224043716
2008,24,0.0150273224043716
2008,25,0.0109289617486339
2008,26,0.0122950819672131
2008,27,0.00409836065573771
2008,28,0.00774134790528233
2008,29,0.00865209471766849
2008,30,0.00364298724954463
2008,31,0.00227686703096539
2008,32,0.00318761384335155
2008,33,0.00273224043715847
2008,34,0.000910746812386157
2008,35,0.00227686703096539
2008,36,0.000910746812386157
2008,37,0.000910746812386157
2008,38,0
2008,39,0.000455373406193078
2008,40,0.000910746812386157
2009,0,0.043859649122807
2009,1,0.054016620498615
2009,2,0.0558633425669437
2009,3,0.0517082179132041
2009,4,0.0373961218836565
2009,5,0.0577100646352724
2009,6,0.0452446906740536
2009,7,0.0457063711911357
2009,8,0.0392428439519852
2009,9,0.043859649122807
2009,10,0.0549399815327793
2009,11,0.0484764542936288
2009,12,0.0383194829178209
2009,13,0.0466297322253001
2009,14,0.0415512465373961
2009,15,0.0337026777469991
2009,16,0.025854108956602
2009,17,0.0244690674053555
2009,18,0.0249307479224377
2009,19,0.0263157894736842
2009,20,0.0235457063711911
2009,21,0.0138504155124654
2009,22,0.0143120960295476
2009,23,0.0115420129270545
2009,24,0.0143120960295476
2009,25,0.0106186518928901
2009,26,0.0170821791320406
2009,27,0.0110803324099723
2009,28,0.0120036934441367
2009,29,0.00507848568790397
2009,30,0.00415512465373961
2009,31,0.00184672206832872
2009,32,0.00415512465373961
2009,33,0.00138504155124654
2009,34,0.00415512465373961
2009,35,0.00138504155124654
2009,36,0.00184672206832872
2009,37,0.00184672206832872
2009,38,0.00184672206832872
2009,39,0.000461680517082179
2009,40,0.000461680517082179
2010,0,0.0493646138807429
2010,1,0.052297165200391
2010,2,0.0527859237536657
2010,3,0.0391006842619746
2010,4,0.0342130987292278
2010,5,0.0391006842619746
2010,6,0.0381231671554252
2010,7,0.0351906158357771
2010,8,0.0469208211143695
2010,9,0.0386119257086999
2010,10,0.0493646138807429
2010,11,0.0513196480938416
2010,12,0.0483870967741936
2010,13,0.0527859237536657
2010,14,0.0454545454545455
2010,15,0.0381231671554252
2010,16,0.0395894428152493
2010,17,0.0283479960899316
2010,18,0.0332355816226784
2010,19,0.0219941348973607
2010,20,0.0234604105571848
2010,21,0.0171065493646139
2010,22,0.0146627565982405
2010,23,0.0131964809384164
2010,24,0.0141739980449658
2010,25,0.00928641251221896
2010,26,0.00977517106549365
2010,27,0.00928641251221896
2010,28,0.0112414467253177
2010,29,0.00537634408602151
2010,30,0.00879765395894428
2010,31,0.00733137829912024
2010,32,0.00635386119257087
2010,33,0.00391006842619746
2010,34,0.00195503421309873
2010,35,0
2010,36,0.000488758553274682
2010,37,0.000977517106549365
2010,38,0.00195503421309873
2010,39,0.00293255131964809
2010,40,0.000977517106549365
2011,0,0.0394117647058824
2011,1,0.0376470588235294
2011,2,0.0411764705882353
2011,3,0.0394117647058824
2011,4,0.0452941176470588
2011,5,0.04
2011,6,0.0417647058823529
2011,7,0.0405882352941176
2011,8,0.0329411764705882
2011,9,0.0405882352941176
2011,10,0.0447058823529412
2011,11,0.05
2011,12,0.0470588235294118
2011,13,0.0570588235294118
2011,14,0.0511764705882353
2011,15,0.0452941176470588
2011,16,0.0370588235294118
2011,17,0.0364705882352941
2011,18,0.0329411764705882
2011,19,0.0311764705882353
2011,20,0.0276470588235294
2011,21,0.0211764705882353
2011,22,0.0158823529411765
2011,23,0.0147058823529412
2011,24,0.0141176470588235
2011,25,0.01
2011,26,0.00882352941176471
2011,27,0.00705882352941177
2011,28,0.00882352941176471
2011,29,0.00823529411764706
2011,30,0.00823529411764706
2011,31,0.00352941176470588
2011,32,0.00411764705882353
2011,33,0.00470588235294118
2011,34,0.00176470588235294
2011,35,0.00294117647058824
2011,36,0.000588235294117647
2011,37,0
2011,38,0.000588235294117647
2011,39,0
2011,40,0.00117647058823529
2012,0,0.0485110470701249
2012,1,0.0518731988472623
2012,2,0.0571565802113353
2012,3,0.0360230547550432
2012,4,0.0398655139289145
2012,5,0.0422670509125841
2012,6,0.037463976945245
2012,7,0.0398655139289145
