year,fit,lower,higher,tau,region
1994,34.4197994987468,33.9669198588462,34.8726791386474,0.75,South West
1995,34.2180451127819,33.821599981342,34.6144902442219,0.75,South West
1996,34.0751879699248,33.717918195549,34.4324577443006,0.75,South West
1997,33.9912280701754,33.6560123483841,34.3264437919667,0.75,South West
1998,33.9661654135338,33.6380531468974,34.2942776801702,0.75,South West
1999,33.9999999999999,33.6679372497923,34.3320627502076,0.75,South West
2000,34.0927318295739,33.7500835545234,34.4353801046244,0.75,South West
2001,34.2443609022556,33.8883371847936,34.6003846197176,0.75,South West
2002,34.4548872180451,34.0855309992926,34.8242434367975,0.75,South West
2003,34.7243107769423,34.343523538722,35.1050980151626,0.75,South West
2004,35.0526315789473,34.6633890032942,35.4418741546004,0.75,South West
2005,35.4398496240601,35.045586675865,35.8341125722552,0.75,South West
2006,35.8859649122806,35.4900601911148,36.2818696334464,0.75,South West
2007,36.3909774436089,35.9962658306605,36.7856890565574,0.75,South West
2008,36.954887218045,36.5631429965827,37.3466314395074,0.75,South West
2009,37.5776942355889,37.189050433632,37.9663380375458,0.75,South West
2010,38.2593984962405,37.871715921726,38.647081070755,0.75,South West
2011,38.9999999999999,38.6082877884632,39.3917122115366,0.75,South West
2012,39.7994987468671,39.3956000867322,40.203397407002,0.75,South West
2013,40.657894736842,40.2306859254892,41.0851035481949,0.75,South West
2014,41.5751879699247,41.1113612302275,42.0390147096219,0.75,South West
2015,42.5513784461152,42.0365490480127,43.0662078442177,0.75,South West
2016,43.5864661654134,43.0061769232937,44.1667554075331,0.75,South West
2017,44.6804511278194,44.0208037516811,45.3400985039577,0.75,South West
2018,45.8333333333332,45.0812419181818,46.5854247484847,0.75,South West
2019,47.0451127819548,46.1883131442535,47.9019124196561,0.75,South West
1990,23.2608695652174,22.1793010141427,24.3424381162921,0.25,Wales
1991,23.1391304347826,22.1929523737302,24.0853084958351,0.25,Wales
1992,23.0521739130435,22.228306973508,23.876040852579,0.25,Wales
1993,23,22.2844519373134,23.7155480626867,0.25,Wales
1994,22.9826086956522,22.360261629097,23.6049557622074,0.25,Wales
1995,23,22.4544889448537,23.5455110551463,0.25,Wales
1996,23.0521739130435,22.5660541777915,23.5382936482955,0.25,Wales
1997,23.1391304347826,22.6945979065871,23.5836629629782,0.25,Wales
1998,23.2608695652174,22.8411379131604,23.6806012172745,0.25,Wales
1999,23.4173913043479,23.0083559791205,23.8264266295752,0.25,Wales
2000,23.608695652174,23.2001434504267,24.0172478539212,0.25,Wales
2001,23.8347826086957,23.42067068398,24.2488945334113,0.25,Wales
2002,24.0956521739131,23.673598553857,24.5177057939691,0.25,Wales
2003,24.3913043478261,23.9617305847305,24.8208781109217,0.25,Wales
2004,24.7217391304348,24.2870004053201,25.1564778555496,0.25,Wales
2005,25.0869565217392,24.6505889372544,25.523324106224,0.25,Wales
2006,25.4869565217392,25.053039101736,25.9208739417424,0.25,Wales
2007,25.9217391304348,25.4943122844529,26.3491659764168,0.25,Wales
2008,26.3913043478261,25.9737677868317,26.8088409088206,0.25,Wales
2009,26.8956521739131,26.4900606291715,27.3012437186547,0.25,Wales
2010,27.4347826086957,27.0409719604175,27.8285932569739,0.25,Wales
2011,28.008695652174,27.6232443536282,28.3941469507197,0.25,Wales
2012,28.6173913043479,28.2326185502852,29.0021640584105,0.25,Wales
2013,29.2608695652175,28.8643776147948,29.6573615156401,0.25,Wales
2014,29.9391304347827,29.5144823284108,30.3637785411546,0.25,Wales
2015,30.6521739130435,30.1806917443872,31.1236560816998,0.25,Wales
2016,31.4000000000001,30.8627867797077,31.9372132202924,0.25,Wales
2017,32.1826086956522,31.5618698233011,32.8033475680034,0.25,Wales
2018,33.0000000000001,32.2794908419722,33.720509158028,0.25,Wales
2019,33.8521739130435,33.0171116186352,34.6872362074519,0.25,Wales
1990,28.7532467532468,27.7229709342497,29.7835225722439,0.5,Wales
1991,28.4909090909091,27.595520247525,29.3862979342932,0.5,Wales
1992,28.2779220779221,27.5031807519219,29.0526634039224,0.5,Wales
1993,28.1142857142857,27.4447489845511,28.7838224440204,0.5,Wales
1994,28,27.4187583606876,28.5812416393125,0.5,Wales
1995,27.935064935065,27.4236761663493,28.4464537037806,0.5,Wales
1996,27.9194805194806,27.4584286508507,28.3805323881104,0.5,Wales
1997,27.9532467532468,27.523241180317,28.3832523261765,0.5,Wales
1998,28.0363636363637,27.6203219895566,28.4524052831708,0.5,Wales
1999,28.1688311688312,27.7536889438257,28.5839733938367,0.5,Wales
2000,28.3506493506494,27.9281199569118,28.773178744387,0.5,Wales
2001,28.5818181818182,28.1480254275799,29.0156109360566,0.5,Wales
2002,28.8623376623377,28.4168580493228,29.3078172753527,0.5,Wales
2003,29.1922077922079,28.7370318982386,29.6473836861771,0.5,Wales
2004,29.5714285714286,29.1100677835932,30.0327893592641,0.5,Wales
2005,30.0000000000001,29.5367623560233,30.4632376439768,0.5,Wales
2006,30.4779220779221,30.0172980679737,30.9385460878706,0.5,Wales
2007,31.0051948051949,30.5512723188455,31.4591172915443,0.5,Wales
2008,31.5818181818182,31.1376440129165,32.02599235072,0.5,Wales
2009,32.2077922077923,31.7746060890882,32.6409783264963,0.5,Wales
2010,32.883116883117,32.4594222970975,33.3068114691364,0.5,Wales
2011,33.6077922077923,33.1883441652403,34.0272402503442,0.5,Wales
2012,34.3818181818183,33.956839857458,34.8067965061785,0.5,Wales
2013,35.2051948051949,34.7603612135837,35.6500283968061,0.5,Wales
2014,36.0779220779222,35.5954801998669,36.5603639559774,0.5,Wales
2015,37.0000000000001,36.4606660142085,37.5393339857916,0.5,Wales
2016,37.9714285714287,37.3561423730529,38.5867147698044,0.5,Wales
2017,38.9922077922079,38.2831255266541,39.7012900577616,0.5,Wales
2018,40.0623376623378,39.2430972730055,40.88157805167,0.5,Wales
2019,41.1818181818183,40.2374067418157,42.1262296218208,0.5,Wales
1990,34.2548076923077,32.6556176731033,35.8539977115121,0.75,Wales
1991,34,32.5877086220506,35.4122913779494,0.75,Wales
1992,33.795405982906,32.5535787387335,35.0372332270785,0.75,Wales
1993,33.6410256410257,32.5522946381335,34.7297566439179,0.75,Wales
1994,33.536858974359,32.5827162237302,34.4910017249878,0.75,Wales
1995,33.482905982906,32.6435532225225,34.3222587432895,0.75,Wales
1996,33.4791666666667,32.7335623634242,34.2247709699091,0.75,Wales
1997,33.5256410256411,32.8519637080144,34.1993183432677,0.75,Wales
1998,33.6223290598291,32.999054089457,34.2456040302012,0.75,Wales
1999,33.7692307692308,33.1767545777161,34.3617069607455,0.75,Wales
2000,33.9663461538462,33.3886621963248,34.5440301113676,0.75,Wales
2001,34.2136752136753,33.6394362204996,34.7879142068509,0.75,Wales
2002,34.511217948718,33.933872628669,35.088563268767,0.75,Wales
2003,34.8589743589744,34.2761768564168,35.441771861532,0.75,Wales
2004,35.2569444444445,34.6696396380877,35.8442492508013,0.75,Wales
2005,35.7051282051283,35.1166146350545,36.293641775202,0.75,Wales
2006,36.2035256410257,35.6186210561991,36.7884302258523,0.75,Wales
2007,36.7521367521368,36.1764484905834,37.3278250136903,0.75,Wales
2008,37.3509615384616,36.7902016863968,37.9117213905264,0.75,Wales
2009,38.0000000000001,37.4592524879284,38.5407475120717,0.75,Wales
2010,38.6992521367522,38.1820729197588,39.2164313537456,0.75,Wales
2011,39.448717948718,38.9559323846949,39.9415035127411,0.75,Wales
2012,40.2483974358975,39.7765052132268,40.7202896585682,0.75,Wales
2013,41.0982905982907,40.637648757466,41.5589324391153,0.75,Wales
2014,41.9983974358975,41.531981194887,42.464813676908,0.75,Wales
2015,42.948717948718,42.4528142541144,43.4446216433217,0.75,Wales
2016,43.9492521367522,43.3965346763516,44.5019695971529,0.75,Wales
2017,45.0000000000001,44.3632527558349,45.6367472441653,0.75,Wales
2018,46.1009615384616,45.355344710738,46.8465783661853,0.75,Wales
2019,47.2521367521368,46.3756897269313,48.1285837773424,0.75,Wales
1990,27.2666666666666,26.0983732825264,28.4349600508068,0.25,West Midlands
1991,26.6,25.5787216367128,27.6212783632871,0.25,West Midlands
1992,26,25.1120871115157,26.8879128884842,0.25,West Midlands
1993,25.4666666666666,24.6975016463649,26.2358316869684,0.25,West Midlands
1994,25,24.3337308658683,25.6662691341316,0.25,West Midlands
1995,24.6,24.0193284567655,25.1806715432344,0.25,West Midlands
1996,24.2666666666667,23.7528934610197,24.7804398723136,0.25,West Midlands
1997,24,23.5336515581634,24.4663484418366,0.25,West Midlands
1998,23.8,23.3622652380658,24.2377347619342,0.25,West Midlands
1999,23.6666666666667,23.2413475642429,24.0919857690905,0.25,West Midlands
2000,23.6,23.1751022766249,24.0248977233751,0.25,West Midlands
2001,23.6,23.1682561330363,24.0317438669638,0.25,West Midlands
2002,23.6666666666667,23.2250574173842,24.1082759159491,0.25,West Midlands
2003,23.8,23.348805186957,24.2511948130431,0.25,West Midlands
2004,24,23.5418186659032,24.4581813340968,0.25,West Midlands
2005,24.2666666666667,23.8055868319878,24.7277465013456,0.25,West Midlands
2006,24.6,24.1409265470957,25.0590734529043,0.25,West Midlands
2007,25,24.5480793012633,25.4519206987368,0.25,West Midlands
2008,25.4666666666667,25.0267240995774,25.906609233756,0.25,West Midlands
2009,26.0000000000001,25.5758944128987,26.4241055871014,0.25,West Midlands
2010,26.6000000000001,26.1937873225901,27.00621267741,0.25,West Midlands
2011,27.2666666666667,26.8774756144357,27.6558577188977,0.25,West Midlands
2012,28.0000000000001,27.6226387948341,28.377361205166,0.25,West Midlands
2013,28.8000000000001,28.4236759978097,29.1763240021904,0.25,West Midlands
2014,29.6666666666667,29.2747450094257,30.0585883239078,0.25,West Midlands
2015,30.6000000000001,30.1716420467935,31.0283579532066,0.25,West Midlands
2016,31.6000000000001,31.1130845537556,32.0869154462446,0.25,West Midlands
2017,32.6666666666668,32.1002247381412,33.2331085951924,0.25,West Midlands
2018,33.8000000000001,33.1352233740958,34.4647766259044,0.25,West Midlands
2019,35.0000000000001,34.2201976848083,35.779802315192,0.25,West Midlands
