fyear,fit,lower,higher,tau,region
2005,29.9695740365111,29.0430197292635,30.8961283437587,0.75,East of England
2006,30.4739688979039,29.5424373174408,31.4055004783671,0.75,East of England
2007,31,30.0573014544361,31.9426985455638,0.75,East of England
2008,31.5476673427991,30.5831873771097,32.5121473084886,0.75,East of England
2009,32.1169709263015,31.1155583842002,33.1183834684028,0.75,East of England
2010,32.7079107505071,31.6503322472341,33.76548925378,0.75,East of England
2011,33.3204868154158,32.1844168146365,34.4565568161951,0.75,East of England
2012,33.9546991210277,32.7159918719141,35.1934063701412,0.75,East of England
2013,34.6105476673427,33.2444448560565,35.976650478629,0.75,East of England
2014,35.288032454361,33.7700587858754,36.8060061228466,0.75,East of England
2015,35.9871534820824,34.2936349766237,37.6806719875411,0.75,East of England
2016,36.707910750507,34.8161840865352,38.5996374144789,0.75,East of England
2017,37.4503042596348,35.3387286988892,39.5618798203805,0.75,East of England
2018,38.2143340094658,35.8622020159097,40.5664660030219,0.75,East of England
2019,38.9999999999999,36.3874096730356,41.6125903269643,0.75,East of England
1990,20.8979591836735,20.3421427201187,21.4537756472282,0.25,London
1991,20.9387755102041,20.4593323533708,21.4182186670374,0.25,London
1992,21,20.5693858620805,21.4306141379195,0.25,London
1993,21.0816326530612,20.6716826558402,21.4915826502823,0.25,London
1994,21.1836734693878,20.7701605390966,21.597186399679,0.25,London
1995,21.3061224489796,20.8722292465402,21.740015651419,0.25,London
1996,21.4489795918368,20.985622079321,21.9123371043525,0.25,London
1997,21.6122448979592,21.1163308120118,22.1081589839066,0.25,London
1998,21.795918367347,21.268301600157,22.3235351345369,0.25,London
1999,22,21.4438815857751,22.5561184142249,0.25,London
2000,22.2244897959184,21.6443052403589,22.8046743514778,0.25,London
2001,22.4693877551021,21.8700260132903,23.0687494969138,0.25,London
2002,22.734693877551,22.1209009771499,23.3484867779521,0.25,London
2003,23.0204081632653,22.3962720944837,23.6445442320469,0.25,London
2004,23.3265306122449,22.6949817309136,23.9580794935762,0.25,London
2005,23.6530612244898,23.0153540027866,24.290768446193,0.25,London
2006,24,23.355176918738,24.644823081262,0.25,London
2007,24.3673469387755,23.7117315923734,25.0229622851777,0.25,London
2008,24.7551020408163,24.0819228359743,25.4282812456584,0.25,London
2009,25.1632653061225,24.4625471512917,25.8639834609532,0.25,London
2010,25.5918367346939,24.8506697234331,26.3330037459547,0.25,London
2011,26.0408163265306,25.243994401589,26.8376382514723,0.25,London
2012,26.5102040816327,25.6410780189126,27.3793301443527,0.25,London
2013,27,26.0413161475666,27.9586838524334,0.25,London
2014,27.5102040816327,26.4447522733041,28.5756558899613,0.25,London
2015,28.0408163265306,26.8518275724111,29.2298050806501,0.25,London
2016,28.5918367346939,27.2631653557805,29.9205081136073,0.25,London
2017,29.1632653061225,27.679426494622,30.6471041176229,0.25,London
2018,29.7551020408163,28.1012304360875,31.4089736455452,0.25,London
2019,30.3673469387755,28.5291214793485,32.2055723982025,0.25,London
1990,24.4,23.6488356462175,25.1511643537825,0.5,London
1991,24.5857142857143,23.9514240033469,25.2200045680818,0.5,London
1992,24.7857142857143,24.2408613716107,25.3305671998179,0.5,London
1993,25,24.5142325989326,25.4857674010674,0.5,London
1994,25.2285714285714,24.7713687317364,25.6857741254065,0.5,London
1995,25.4714285714286,25.0167353721118,25.9261217707453,0.5,London
1996,25.7285714285714,25.2583727266809,26.198770130462,0.5,London
1997,26,25.5046890274893,26.4953109725108,0.5,London
1998,26.2857142857143,25.7622125207938,26.8092160506348,0.5,London
1999,26.5857142857143,26.0351565089613,27.1362720624673,0.5,London
2000,26.9,26.3258312503546,27.4741687496455,0.5,London
2001,27.2285714285714,26.6351296787119,27.822013178431,0.5,London
2002,27.5714285714286,26.9628489568881,28.1800081859691,0.5,London
2003,27.9285714285714,27.3078485175549,28.549294339588,0.5,London
2004,28.3,27.668106501124,28.931893498876,0.5,London
2005,28.6857142857143,28.040754348951,29.3306742224776,0.5,London
2006,29.0857142857143,28.4221863225919,29.7492422488367,0.5,London
2007,29.5,28.8083411143658,30.1916588856342,0.5,London
2008,29.9285714285714,29.1951890897606,30.6619537673823,0.5,London
2009,30.3714285714286,29.5793146239076,31.1635425189496,0.5,London
2010,30.8285714285714,29.958357287075,31.6987855700679,0.5,London
2011,31.3,30.3311222791356,32.2688777208645,0.5,London
2012,31.7857142857143,30.6973749693315,32.8740536020971,0.5,London
2013,32.2857142857143,31.0574937826103,33.5139347888183,0.5,London
2014,32.8,31.4121509553233,34.1878490446767,0.5,London
2015,33.3285714285714,31.7620957825532,34.8950470745897,0.5,London
2016,33.8714285714286,32.1080375818134,35.6348195610438,0.5,London
2017,34.4285714285714,32.4505968154742,36.4065460416687,0.5,London
2018,35,32.7902940753116,37.2097059246884,0.5,London
2019,35.5857142857143,33.1275567006574,38.0438718707712,0.5,London
1990,28.0291005291006,27.3617562168425,28.6964448413586,0.75,London
1991,28.4179894179894,27.8394995948354,28.9964792411434,0.75,London
1992,28.8095238095238,28.2939819794306,29.3250656396171,0.75,London
1993,29.2037037037037,28.7236130941311,29.6837943132763,0.75,London
1994,29.6005291005291,29.1301430111046,30.0709151899536,0.75,London
1995,30,29.5189851654874,30.4810148345126,0.75,London
1996,30.4021164021164,29.8972905504844,30.9069422537484,0.75,London
1997,30.8068783068783,30.2716473894361,31.3421092243206,0.75,London
1998,31.2142857142857,30.6470171639837,31.7815542645878,0.75,London
1999,31.6243386243387,31.0267394160679,32.2219378326094,0.75,London
2000,32.0370370370371,31.412906517423,32.6611675566511,0.75,London
2001,32.452380952381,31.8067255199144,33.0980363848475,0.75,London
2002,32.8703703703704,32.2087678736504,33.5319728670904,0.75,London
2003,33.2910052910053,32.6191135301802,33.9628970518304,0.75,London
2004,33.7142857142857,33.0374151834195,34.3911562451519,0.75,London
2005,34.1402116402117,33.4629036970011,34.8175195834223,0.75,London
2006,34.5687830687831,33.8943499023989,35.2432162351673,0.75,London
2007,35,34.329998277519,35.670001722481,0.75,London
2008,35.4338624338625,34.7674983882401,36.1002264794848,0.75,London
2009,35.8703703703704,35.2038821482089,36.5368585925319,0.75,London
2010,36.3095238095238,35.6356610712494,36.9833865477982,0.75,London
2011,36.7513227513228,36.0591172792,37.4435282234455,0.75,London
2012,37.1957671957672,36.4707880358785,37.9207463556559,0.75,London
2013,37.6428571428572,36.8679971908381,38.4177170948762,0.75,London
2014,38.0925925925926,37.2491901619824,38.9359950232028,0.75,London
2015,38.5449735449736,37.6139227504698,39.4760243394774,0.75,London
2016,39,37.9625727655196,40.0374272344804,0.75,London
2017,39.457671957672,38.2959696849723,40.6193742303716,0.75,London
2018,39.9179894179894,38.615095082876,41.2208837531029,0.75,London
2019,40.3809523809524,38.9209013691578,41.841003392747,0.75,London
1990,18.1590909090909,17.6568077384242,18.6613740797576,0.25,North East
1991,18.0681818181818,17.6521554417155,18.4842081946481,0.25,North East
1992,18,17.658419126848,18.341580873152,0.25,North East
1993,17.9545454545454,17.6737906366334,18.2353002724575,0.25,North East
1994,17.9318181818182,17.6958455055162,18.1677908581202,0.25,North East
1995,17.9318181818182,17.7223989253334,18.1412374383029,0.25,North East
1996,17.9545454545454,17.7536120214646,18.1554788876263,0.25,North East
1997,18,17.7933622338674,18.2066377661325,0.25,North East
1998,18.0681818181818,17.8474435466786,18.288920089685,0.25,North East
