yr,fit,lower,higher,tau,region,parameter
2009,33.0677618069816,32.7959944734893,33.3395291404739,0.5,Scotland,age
2010,33.9215801310258,33.7087277683218,34.1344324937298,0.5,Scotland,age
2011,34.733809197875,34.5191587804107,34.9484596153393,0.5,Scotland,age
2012,35.5044490075292,35.2623704859702,35.7465275290881,0.5,Scotland,age
2013,36.2334995599884,35.9679259716634,36.4990731483133,0.5,Scotland,age
2014,36.9209608552525,36.6476452734362,37.1942764370688,0.5,Scotland,age
2015,37.5668328933217,37.3038386844839,37.8298271021594,0.5,Scotland,age
2016,38.1711156741958,37.9320053363807,38.4102260120109,0.5,Scotland,age
2017,38.7338091978749,38.5166027095164,38.9510156862335,0.5,Scotland,age
2018,39.2549134643591,39.025049178867,39.4847777498512,0.5,Scotland,age
2019,39.7344284736482,39.4294521840345,40.0394047632618,0.5,Scotland,age
2020,40.1723542257423,39.7344494870524,40.6102589644321,0.5,Scotland,age
2008,37.1825385960911,36.6946987001258,37.6703784920563,0.75,Scotland,age
2009,38.1168149669177,37.7878754473873,38.4457544864481,0.75,Scotland,age
2010,39.003422313484,38.7649788855049,39.241865741463,0.75,Scotland,age
2011,39.8423606357899,39.6201452530971,40.0645760184826,0.75,Scotland,age
2012,40.6336299338353,40.3887207705623,40.8785390971084,0.75,Scotland,age
2013,41.3772302076204,41.1095734531055,41.6448869621353,0.75,Scotland,age
2014,42.0731614571451,41.7972677503191,42.349055163971,0.75,Scotland,age
2015,42.7214236824093,42.4494913850866,42.993355979732,0.75,Scotland,age
2016,43.3220168834132,43.0491779851992,43.5948557816271,0.75,Scotland,age
2017,43.8749410601566,43.5656082937858,44.1842738265275,0.75,Scotland,age
2018,44.3801962126397,43.9745506134454,44.785841811834,0.75,Scotland,age
2019,44.8377823408623,44.2750512622482,45.4005134194765,0.75,Scotland,age
2020,45.2476994448246,44.4753929844898,46.0200059051594,0.75,Scotland,age
2005,21.2820512820512,19.7076567556549,22.8564458084476,0.25,GCC,age_init
2006,22,20.9083275527871,23.0916724472128,0.25,GCC,age_init
2007,22.6923076923077,21.9202870847797,23.4643282998356,0.25,GCC,age_init
2008,23.3589743589743,22.6932916324077,24.0246570855409,0.25,GCC,age_init
2009,24,23.2691513940357,24.7308486059642,0.25,GCC,age_init
2010,24.6153846153846,23.76715342702,25.4636158037492,0.25,GCC,age_init
2011,25.2051282051282,24.2569254523219,26.1533309579345,0.25,GCC,age_init
2012,25.7692307692307,24.7581788330753,26.7802827053862,0.25,GCC,age_init
2013,26.3076923076923,25.2647915256817,27.3505930897029,0.25,GCC,age_init
2014,26.8205128205128,25.7511702308267,27.8898554101989,0.25,GCC,age_init
2015,27.3076923076923,26.1730727757768,28.4423118396078,0.25,GCC,age_init
2016,27.7692307692307,26.4783975292463,29.0600640092151,0.25,GCC,age_init
2017,28.2051282051282,26.631409997068,29.7788464131883,0.25,GCC,age_init
2018,28.6153846153846,26.6243473354748,30.6064218952944,0.25,GCC,age_init
2019,29,26.4653505244837,31.5346494755163,0.25,GCC,age_init
2005,24.5227272727272,22.5490162528535,26.496438292601,0.5,GCC,age_init
2006,25.4015151515151,24.0104180293045,26.7926122737257,0.5,GCC,age_init
2007,26.2272727272727,25.2563542153996,27.1981912391457,0.5,GCC,age_init
2008,27,26.2333106358428,27.7666893641571,0.5,GCC,age_init
