year,md,lower,upper,region,parameter
2017,33,27,39,North East,age_init
2018,32,24.75,43.25,North East,age_init
2019,28,24,34.5,North East,age_init
1989,21,19,24,North West,age_init
1987,20,18,24,North West,age_init
1988,21,18,23,North West,age_init
1990,21,18,25,North West,age_init
1991,22,19,26,North West,age_init
1992,22,19,25,North West,age_init
1993,22,19,25,North West,age_init
1994,22,19,26,North West,age_init
1995,23,20,27,North West,age_init
1996,23,20,27,North West,age_init
1997,24.5,20,30,North West,age_init
1998,23,20,28.5,North West,age_init
1999,26,22,31.5,North West,age_init
2000,26,22,30,North West,age_init
2001,27,21,31,North West,age_init
2002,27,21,30.5,North West,age_init
2003,28,22.25,30,North West,age_init
2004,25,21,31.75,North West,age_init
2005,26,22,32,North West,age_init
2006,29,24,33.75,North West,age_init
2007,26,21,33.5,North West,age_init
2008,27,21,30,North West,age_init
2009,30,23.25,37.5,North West,age_init
2010,28,24,40,North West,age_init
2011,28,23,34.5,North West,age_init
2012,34,28.5,37.75,North West,age_init
2013,30,24,35,North West,age_init
2014,30,25,38.5,North West,age_init
2015,31.5,24.5,37.75,North West,age_init
2016,32.5,24.75,40.5,North West,age_init
2017,31,27,34,North West,age_init
2018,34,32,38.5,North West,age_init
2019,32.5,32.25,32.75,North West,age_init
1999,29,23,31,Northern Ireland,age_init
2000,28,20.5,30,Northern Ireland,age_init
2002,25,21.5,29,Northern Ireland,age_init
2001,29,25,37,Northern Ireland,age_init
2003,24,21,27,Northern Ireland,age_init
2004,22.5,21.25,27,Northern Ireland,age_init
2005,21,18.75,26.5,Northern Ireland,age_init
2006,24,21,31,Northern Ireland,age_init
2007,23,21,28,Northern Ireland,age_init
2008,22.5,20,25.5,Northern Ireland,age_init
2009,26,24,28,Northern Ireland,age_init
2010,26,24,29.5,Northern Ireland,age_init
2011,24,22,28,Northern Ireland,age_init
2012,26,23.5,30.75,Northern Ireland,age_init
2013,27,23,30,Northern Ireland,age_init
2014,24.5,22.25,28.25,Northern Ireland,age_init
2015,27,23.5,32,Northern Ireland,age_init
2016,23,20,28.25,Northern Ireland,age_init
2017,26,22.75,27.75,Northern Ireland,age_init
2018,31,28,34,Northern Ireland,age_init
2019,27,26.5,27.5,Northern Ireland,age_init
1987,26.5,22.75,28,South East,age_init
1989,21.5,19.75,23.5,South East,age_init
1988,22,21,30,South East,age_init
1991,21,18.5,25,South East,age_init
1990,20,18,23.75,South East,age_init
1992,21,18,25,South East,age_init
1993,20,18,25,South East,age_init
1994,21,18,23.5,South East,age_init
1995,21,18,25,South East,age_init
1996,21,18,26,South East,age_init
1997,22,18,24.5,South East,age_init
1998,23,20,27,South East,age_init
1999,25,21,29,South East,age_init
2000,25.5,22.25,28,South East,age_init
2001,26,22.25,28.75,South East,age_init
2002,24,21,27,South East,age_init
2003,27,22,30,South East,age_init
2004,25,19,29.25,South East,age_init
2005,26,20,31.25,South East,age_init
2006,26.5,22,30.75,South East,age_init
2007,24,19.25,30,South East,age_init
2008,25,22,31,South East,age_init
2009,26,20,32.75,South East,age_init
2010,26,21.25,32,South East,age_init
2011,25,20.75,31.25,South East,age_init
2012,28.5,25,36,South East,age_init
2013,29,23,35,South East,age_init
2014,30,24,38,South East,age_init
2015,30.5,26.25,35.25,South East,age_init
2016,34,29,40,South East,age_init
2017,35,28.25,40.5,South East,age_init
2018,30,28,34.5,South East,age_init
2019,35.5,28.25,43,South East,age_init
1989,19.5,18,25,South West,age_init
1990,20.5,18,24.75,South West,age_init
1988,22,19,26,South West,age_init
1987,21,19,21,South West,age_init
1991,21,18,25,South West,age_init
1992,22,18,25,South West,age_init
1993,22,18,25,South West,age_init
1994,21,18,26.25,South West,age_init
1995,21,18,25,South West,age_init
1996,21,18,25,South West,age_init
1997,22,18,24.25,South West,age_init
1998,22,19,27,South West,age_init
