year,fit,lower,higher,tau,region,parameter
2012,34.1125226860255,32.6479141848147,35.5771311872362,0.75,Yorkshire & Humber,age_init_whole_sample
2013,35.0362976406534,33.4200529536855,36.6525423276213,0.75,Yorkshire & Humber,age_init_whole_sample
2014,35.9869328493649,34.2097536562442,37.7641120424855,0.75,Yorkshire & Humber,age_init_whole_sample
2015,36.9644283121598,35.0172012402853,38.9116553840342,0.75,Yorkshire & Humber,age_init_whole_sample
2016,37.9687840290382,35.8425470325126,40.0950210255638,0.75,Yorkshire & Humber,age_init_whole_sample
2017,39.0000000000001,36.6859151704759,41.3140848295243,0.75,Yorkshire & Humber,age_init_whole_sample
2018,40.0580762250455,37.5474078882313,42.5687445618596,0.75,Yorkshire & Humber,age_init_whole_sample
2019,41.1430127041743,38.427109779498,43.8589156288506,0.75,Yorkshire & Humber,age_init_whole_sample
1990,16.7058823529414,16.6635334182839,16.7482312875988,0.25,England,age_init_whole_sample
1991,16.8352941176473,16.7908947123704,16.8796935229241,0.25,England,age_init_whole_sample
1992,16.9749019607845,16.9288569307955,17.0209469907735,0.25,England,age_init_whole_sample
1993,17.1247058823532,17.0773680679497,17.1720436967566,0.25,England,age_init_whole_sample
1994,17.2847058823532,17.236352558078,17.3330592066284,0.25,England,age_init_whole_sample
1995,17.4549019607846,17.405709712349,17.5040942092201,0.25,England,age_init_whole_sample
1996,17.6352941176473,17.5853119525626,17.685276282732,0.25,England,age_init_whole_sample
1997,17.8258823529414,17.7750045367523,17.8767601691306,0.25,England,age_init_whole_sample
1998,18.0266666666669,17.9746088668002,18.0787244665336,0.25,England,age_init_whole_sample
1999,18.2376470588238,18.1839313578015,18.2913627598461,0.25,England,age_init_whole_sample
2000,18.458823529412,18.4027784369676,18.5148686218564,0.25,England,age_init_whole_sample
2001,18.6901960784317,18.6309753238969,18.7494168329664,0.25,England,age_init_whole_sample
2002,18.9317647058827,18.8683832426952,18.9951461690701,0.25,England,age_init_whole_sample
2003,19.183529411765,19.114909244039,19.252149579491,0.25,England,age_init_whole_sample
2004,19.4454901960787,19.3705059936542,19.5204743985033,0.25,England,age_init_whole_sample
2005,19.7176470588239,19.6351634775153,19.8001306401324,0.25,England,age_init_whole_sample
2006,20.0000000000003,19.9088971879082,20.0911028120925,0.25,England,age_init_whole_sample
2007,20.2925490196082,20.1917369225404,20.393361116676,0.25,England,age_init_whole_sample
2008,20.5952941176474,20.4837183269382,20.7068699083566,0.25,England,age_init_whole_sample
2009,20.908235294118,20.7848775030926,21.0315930851434,0.25,England,age_init_whole_sample
2010,21.23137254902,21.095248081008,21.3674970170319,0.25,England,age_init_whole_sample
2011,21.5647058823533,21.4148599400994,21.7145518246073,0.25,England,age_init_whole_sample
2012,21.908235294118,21.7437388997673,22.0727316884688,0.25,England,age_init_whole_sample
2013,22.2619607843141,22.081906912857,22.4420146557713,0.25,England,age_init_whole_sample
2014,22.6258823529416,22.4293824793075,22.8223822265757,0.25,England,age_init_whole_sample
2015,23.0000000000004,22.7861811240568,23.213818875944,0.25,England,age_init_whole_sample
2016,23.3843137254906,23.1523158611218,23.6163115898594,0.25,England,age_init_whole_sample
2017,23.7788235294122,23.5277976099066,24.0298494489177,0.25,England,age_init_whole_sample
2018,24.1835294117651,23.9126355531511,24.4544232703792,0.25,England,age_init_whole_sample
2019,24.5984313725495,24.3068374373521,24.8900253077469,0.25,England,age_init_whole_sample
1990,19.228758169935,19.1730249696721,19.2844913701978,0.5,England,age_init_whole_sample
1991,19.4521008403365,19.3935640656525,19.5106376150204,0.5,England,age_init_whole_sample
1992,19.6873949579835,19.6265017993935,19.7482881165735,0.5,England,age_init_whole_sample
1993,19.9346405228762,19.8718446176519,19.9974364281005,0.5,England,age_init_whole_sample
1994,20.1938375350144,20.1295456058914,20.2581294641374,0.5,England,age_init_whole_sample
1995,20.4649859943981,20.3995093503747,20.5304626384215,0.5,England,age_init_whole_sample
1996,20.7480859010275,20.6815925903584,20.8145792116965,0.5,England,age_init_whole_sample
1997,21.0431372549023,20.9756038380266,21.1106706717781,0.5,England,age_init_whole_sample
1998,21.3501400560228,21.2813055993595,21.4189745126861,0.5,England,age_init_whole_sample
1999,21.6690943043888,21.5984233103654,21.7397652984123,0.5,England,age_init_whole_sample
2000,22.0000000000004,21.9266642257621,22.0733357742388,0.5,England,age_init_whole_sample
2001,22.3428571428576,22.2657458104642,22.419968475251,0.5,England,age_init_whole_sample
2002,22.6976657329603,22.6154272120412,22.7799042538794,0.5,England,age_init_whole_sample
2003,23.0644257703086,22.9755332000109,23.1533183406062,0.5,England,age_init_whole_sample
2004,23.4431372549024,23.3459622151214,23.5403122946834,0.5,England,age_init_whole_sample
2005,23.8338001867418,23.7266780959467,23.9409222775369,0.5,England,age_init_whole_sample
2006,24.2364145658268,24.1176921811345,24.3551369505192,0.5,England,age_init_whole_sample
2007,24.6509803921574,24.5190439969177,24.782916787397,0.5,England,age_init_whole_sample
2008,25.0774976657335,24.930785749691,25.2242095817759,0.5,England,age_init_whole_sample
2009,25.5159663865551,25.3529721210084,25.6789606521019,0.5,England,age_init_whole_sample
2010,25.9663865546224,25.7856546177473,26.1471184914974,0.5,England,age_init_whole_sample
2011,26.4287581699352,26.2288790444789,26.6286372953915,0.5,England,age_init_whole_sample
2012,26.9030812324935,26.6826848152004,27.1234776497867,0.5,England,age_init_whole_sample
2013,27.3893557422975,27.1471052124411,27.6316062721538,0.5,England,age_init_whole_sample
2014,27.887581699347,27.6221680560994,28.1529953425946,0.5,England,age_init_whole_sample
