year,fit,lower,higher,tau,region
2009,3.62105263157892,3.35694548827622,3.88515977488163,0.25,North East
2010,3.94877192982454,3.65502526381978,4.2425185958293,0.25,North East
2011,4.28842105263155,3.95269221136138,4.62414989390173,0.25,North East
2012,4.63999999999997,4.24902072449857,5.03097927550137,0.25,North East
2013,5.0035087719298,4.54399801170774,5.46301953215186,0.25,North East
2014,5.37894736842102,4.83806071866123,5.91983401818082,0.25,North East
2015,5.76631578947365,5.13176380575195,6.40086777319536,0.25,North East
2016,6.16561403508769,5.42562167401685,6.90560639615852,0.25,North East
2017,6.57684210526313,5.72005797216979,7.43362623835647,0.25,North East
2018,6.99999999999997,6.01540424084796,7.98459575915197,0.25,North East
2019,7.43508771929821,6.31191464733199,8.55826079126443,0.25,North East
1990,2.01604278074869,0.931735211215404,3.10035035028197,0.5,North East
1991,1.93155080213906,0.997755573143087,2.86534603113503,0.5,North East
1992,1.88770053475937,1.09328480268933,2.68211626682942,0.5,North East
1993,1.88449197860964,1.21806186300643,2.55092209421284,0.5,North East
1994,1.92192513368985,1.37166909874047,2.47218116863923,0.5,North East
1995,2.00000000000001,1.55341703947095,2.44658296052906,0.5,North East
1996,2.11871657754011,1.76213922840663,2.47529392667358,0.5,North East
1997,2.27807486631016,1.99586656796592,2.5602831646544,0.5,North East
1998,2.47807486631015,2.25154110621691,2.7046086264034,0.5,North East
1999,2.7187165775401,2.52572293582956,2.91171021925064,0.5,North East
2000,2.99999999999999,2.81786864167097,3.18213135832901,0.5,North East
2001,3.32192513368982,3.13348699187653,3.51036327550311,0.5,North East
2002,3.68449197860961,3.4811557832732,3.88782817394601,0.5,North East
2003,4.08770053475934,3.86760546122244,4.30779560829623,0.5,North East
2004,4.53155080213901,4.29654049631291,4.76656110796511,0.5,North East
2005,5.01604278074863,4.76943772434125,5.26264783715602,0.5,North East
2006,5.5411764705882,5.28628210745634,5.79607083372006,0.5,North East
2007,6.10695187165772,5.84589635432915,6.36800738898628,0.5,North East
2008,6.71336898395718,6.44602704429154,6.98071092362282,0.5,North East
2009,7.36042780748659,7.08342659733747,7.6374290176357,0.5,North East
2010,8.04812834224594,7.7542075562864,8.34204912820548,0.5,North East
2011,8.77647058823524,8.45461847061841,9.09832270585208,0.5,North East
2012,9.54545454545449,9.18194695581022,9.90896213509876,0.5,North East
2013,10.3550802139037,9.93493901469197,10.7752214131154,0.5,North East
2014,11.2053475935828,10.7135286802026,11.6971665069631,0.5,North East
2015,12.0962566844919,11.5182721495095,12.6742412194744,0.5,North East
2016,13.0278074866309,12.3499001201501,13.7057148531118,0.5,North East
2017,13.9999999999999,13.2090930346775,14.7909069653224,0.5,North East
2018,15.0128342245989,14.0964086684523,15.9292597807454,0.5,North East
2019,16.0663101604277,15.0122798348244,17.1203404860311,0.5,North East
1990,5.37518037518041,3.82177255089954,6.92858819946128,0.75,North East
1991,5.19047619047622,3.8298812917333,6.55107108921914,0.75,North East
1992,5.06060606060609,3.87978819360779,6.24142392760439,0.75,North East
1993,4.98556998557001,3.97125790604293,5.99988206509709,0.75,North East
1994,4.96536796536798,4.10394506832061,5.82679086241535,0.75,North East
1995,5.00000000000001,4.27733208361176,5.72266791638826,0.75,North East
1996,5.0894660894661,4.49062991702124,5.68830226191096,0.75,North East
1997,5.23376623376624,4.74263023366313,5.72490223386934,0.75,North East
1998,5.43290043290043,5.03153231089929,5.83426855490157,0.75,North East
1999,5.68686868686868,5.35492204088806,6.0188153328493,0.75,North East
2000,5.99567099567098,5.71045177908605,6.28089021225591,0.75,North East
2001,6.35930735930734,6.09785018920479,6.62076452940989,0.75,North East
2002,6.77777777777776,6.52103330270875,7.03452225284676,0.75,North East
2003,7.25108225108223,6.98718148379467,7.51498301836978,0.75,North East
2004,7.77922077922075,7.5033985424418,8.0550430159997,0.75,North East
2005,8.36219336219333,8.07464966279644,8.64973706159021,0.75,North East
2006,8.99999999999996,8.70362995014311,9.2963700498568,0.75,North East
2007,9.69264069264065,9.39124235944461,9.99403902583669,0.75,North East
2008,10.4401154401154,10.1369313609819,10.7432995192488,0.75,North East
2009,11.2424242424242,10.9387526234417,11.5460958614067,0.75,North East
2010,12.099567099567,11.7933134435677,12.4058207555664,0.75,North East
2011,13.0115440115439,12.6959045401599,13.327183482928,0.75,North East
2012,13.9783549783549,13.6412631375219,14.3154468191879,0.75,North East
2013,14.9999999999999,14.6250024934517,15.3749975065482,0.75,North East
2014,16.076479076479,15.6447971796013,16.5081609733567,0.75,North East
2015,17.2077922077921,16.7003732337854,17.7152111817988,0.75,North East
2016,18.3939393939393,17.7926220864551,18.9952567014235,0.75,North East
2017,19.6349206349205,18.9227547623404,20.3470865075007,0.75,North East
2018,20.9307359307358,20.0918717648439,21.7696000966278,0.75,North East
2019,22.2813852813852,21.3008408558792,23.2619297068911,0.75,North East
1990,1.17779503105596,0.926013259657825,1.42957680245409,0.25,North West
1991,1.44953416149074,1.26064123312745,1.63842708985402,0.25,North West
1992,1.72360248447211,1.58966043737175,1.85754453157247,0.25,North West
1993,2.00000000000006,1.90996632786869,2.09003367213142,0.25,North West
1994,2.27872670807459,2.21291065814899,2.3445427580002,0.25,North West
1995,2.55978260869571,2.48911274765929,2.63045246973213,0.25,North West
1996,2.84316770186341,2.74993454429859,2.93640085942823,0.25,North West
1997,3.1288819875777,3.0095190895285,3.24824488562689,0.25,North West
1998,3.41692546583857,3.27304050128033,3.56081043039681,0.25,North West
1999,3.70729813664602,3.54199773237869,3.87259854091335,0.25,North West
2000,4.00000000000006,3.81669854552176,4.18330145447836,0.25,North West
2001,4.29503105590068,4.09694364000779,4.49311847179357,0.25,North West
2002,4.59239130434789,4.38221468255682,4.80256792613895,0.25,North West
2003,4.89208074534168,4.67171555912541,5.11244593155794,0.25,North West
2004,5.19409937888205,4.96437061721201,5.42382814055208,0.25,North West
2005,5.498447204969,5.25882919282414,5.73806521711387,0.25,North West
2006,5.80512422360255,5.55351612576848,6.05673232143661,0.25,North West
