yr,N,dur_int,n,pc
2017,773,34,5,0.00646830530401035
2017,773,35,9,0.0116429495472186
2017,773,36,5,0.00646830530401035
2017,773,37,4,0.00517464424320828
2017,773,38,4,0.00517464424320828
2017,773,39,0,0
2017,773,40,0,0
2018,727,0,12,0.0165061898211829
2018,727,1,23,0.031636863823934
2018,727,2,25,0.0343878954607978
2018,727,3,22,0.0302613480055021
2018,727,4,18,0.0247592847317744
2018,727,5,22,0.0302613480055021
2018,727,6,24,0.0330123796423659
2018,727,7,21,0.0288858321870702
2018,727,8,17,0.0233837689133425
2018,727,9,18,0.0247592847317744
2018,727,10,32,0.0440165061898212
2018,727,11,23,0.031636863823934
2018,727,12,26,0.0357634112792297
2018,727,13,31,0.0426409903713893
2018,727,14,27,0.0371389270976616
2018,727,15,33,0.0453920220082531
2018,727,16,47,0.0646492434662999
2018,727,17,37,0.0508940852819807
2018,727,18,35,0.0481430536451169
2018,727,19,37,0.0508940852819807
2018,727,20,26,0.0357634112792297
2018,727,21,30,0.0412654745529574
2018,727,22,26,0.0357634112792297
2018,727,23,31,0.0426409903713893
2018,727,24,17,0.0233837689133425
2018,727,25,10,0.0137551581843191
2018,727,26,13,0.0178817056396149
2018,727,27,7,0.00962861072902338
2018,727,28,7,0.00962861072902338
2018,727,29,5,0.00687757909215956
2018,727,30,5,0.00687757909215956
2018,727,31,3,0.00412654745529574
2018,727,32,5,0.00687757909215956
2018,727,33,4,0.00550206327372765
2018,727,34,1,0.00137551581843191
2018,727,35,2,0.00275103163686382
2018,727,36,4,0.00550206327372765
2018,727,37,1,0.00137551581843191
2018,727,38,0,0
2018,727,39,0,0
2018,727,40,0,0
2019,1220,0,37,0.030327868852459
2019,1220,1,25,0.0204918032786885
2019,1220,2,27,0.0221311475409836
2019,1220,3,33,0.0270491803278689
2019,1220,4,33,0.0270491803278689
2019,1220,5,24,0.019672131147541
2019,1220,6,29,0.0237704918032787
2019,1220,7,26,0.0213114754098361
2019,1220,8,33,0.0270491803278689
2019,1220,9,40,0.0327868852459016
2019,1220,10,39,0.0319672131147541
2019,1220,11,41,0.0336065573770492
2019,1220,12,48,0.039344262295082
2019,1220,13,43,0.0352459016393443
2019,1220,14,47,0.0385245901639344
2019,1220,15,34,0.0278688524590164
2019,1220,16,38,0.0311475409836066
2019,1220,17,44,0.0360655737704918
2019,1220,18,46,0.0377049180327869
2019,1220,19,62,0.0508196721311475
2019,1220,20,54,0.0442622950819672
2019,1220,21,62,0.0508196721311475
2019,1220,22,42,0.0344262295081967
2019,1220,23,48,0.039344262295082
2019,1220,24,44,0.0360655737704918
2019,1220,25,35,0.0286885245901639
2019,1220,26,29,0.0237704918032787
2019,1220,27,31,0.0254098360655738
2019,1220,28,19,0.0155737704918033
2019,1220,29,14,0.0114754098360656
2019,1220,30,9,0.00737704918032787
2019,1220,31,8,0.00655737704918033
2019,1220,32,8,0.00655737704918033
2019,1220,33,20,0.0163934426229508
2019,1220,34,8,0.00655737704918033
2019,1220,35,5,0.00409836065573771
2019,1220,36,15,0.0122950819672131
2019,1220,37,8,0.00655737704918033
2019,1220,38,5,0.00409836065573771
2019,1220,39,0,0
2019,1220,40,2,0.00163934426229508
