yr,year_init,pc
2013,1972,0
2013,1973,0
2013,1974,0.000515995872033024
2013,1975,0.00154798761609907
2013,1976,0.00103199174406605
2013,1977,0.000515995872033024
2013,1978,0.00103199174406605
2013,1979,0.00361197110423117
2013,1980,0.00412796697626419
2013,1981,0.00464396284829721
2013,1982,0.0087719298245614
2013,1983,0.00825593395252838
2013,1984,0.0113519091847265
2013,1985,0.0113519091847265
2013,1986,0.0103199174406605
2013,1987,0.0185758513931889
2013,1988,0.0175438596491228
2013,1989,0.0273477812177503
2013,1990,0.0180598555211558
2013,1991,0.022703818369453
2013,1992,0.0201238390092879
2013,1993,0.021671826625387
2013,1994,0.0252837977296182
2013,1995,0.0330237358101135
2013,1996,0.0386996904024768
2013,1997,0.042827657378741
2013,1998,0.0505675954592363
2013,1999,0.0500515995872033
2013,2000,0.0526315789473684
2013,2001,0.0479876160990712
2013,2002,0.04437564499484
2013,2003,0.04437564499484
2013,2004,0.04437564499484
2013,2005,0.0381836945304438
2013,2006,0.0376676986584107
2013,2007,0.0345717234262126
2013,2008,0.042827657378741
2013,2009,0.0330237358101135
2013,2010,0.0345717234262126
2013,2011,0.0366357069143447
2013,2012,0.0381836945304438
2013,2013,0.0159958720330237
2014,1970,0
2014,1971,0
2014,1972,0
2014,1973,0
2014,1974,0
2014,1975,0
2014,1976,0
2014,1977,0
2014,1978,0
2014,1979,0
2014,1980,0
2014,1981,0
2014,1982,0
2014,1983,0
2014,1984,0
2014,1985,0
2014,1986,0
2014,1987,0
2014,1988,0
2014,1989,0
2014,1990,0.0238095238095238
2014,1991,0.0238095238095238
2014,1992,0
2014,1993,0
2014,1994,0
2014,1995,0.0238095238095238
2014,1996,0.0238095238095238
2014,1997,0
2014,1998,0.0238095238095238
2014,1999,0.0714285714285714
2014,2000,0
2014,2001,0
2014,2002,0.0714285714285714
2014,2003,0.0714285714285714
2014,2004,0.0952380952380952
2014,2005,0.0476190476190476
2014,2006,0.0952380952380952
2014,2007,0.0952380952380952
2014,2008,0.0476190476190476
2014,2009,0.0238095238095238
2014,2010,0.0476190476190476
2014,2011,0.0476190476190476
2014,2012,0.0238095238095238
2014,2013,0.119047619047619
2014,2014,0.0238095238095238
2015,1970,0
2015,1971,0.000968523002421307
2015,1972,0
2015,1973,0
2015,1974,0.000484261501210654
2015,1975,0
