year,injdurI,pc
2000,26,0.00366166239472721
2000,27,0.00256316367630904
2000,28,0.00256316367630904
2000,29,0.00292932991578176
2000,30,0.00329549615525449
2000,31,0.0018308311973636
2000,32,0.00219699743683632
2000,33,0.00109849871841816
2000,34,0.00292932991578176
2000,35,0.000732332478945441
2000,36,0
2000,37,0.000366166239472721
2000,38,0
2000,39,0
2000,40,0.000366166239472721
2001,0,0.0618336886993603
2001,1,0.0720682302771855
2001,2,0.0942430703624733
2001,3,0.0733475479744137
2001,4,0.0750533049040512
2001,5,0.0712153518123667
2001,6,0.0682302771855011
2001,7,0.0460554371002132
2001,8,0.0477611940298508
2001,9,0.0388059701492537
2001,10,0.0481876332622601
2001,11,0.0272921108742004
2001,12,0.0255863539445629
2001,13,0.026865671641791
2001,14,0.017910447761194
2001,15,0.0277185501066098
2001,16,0.0204690831556503
2001,17,0.0294243070362473
2001,18,0.0213219616204691
2001,19,0.0153518123667377
2001,20,0.0170575692963753
2001,21,0.0136460554371002
2001,22,0.0110874200426439
2001,23,0.0093816631130064
2001,24,0.00383795309168444
2001,25,0.00639658848614073
2001,26,0.00426439232409382
2001,27,0.00597014925373134
2001,28,0.00255863539445629
2001,29,0.00383795309168444
2001,30,0.00341151385927505
2001,31,0.00127931769722815
2001,32,0.00213219616204691
2001,33,0.00255863539445629
2001,34,0.000426439232409382
2001,35,0.00255863539445629
2001,36,0.000426439232409382
2001,37,0
2001,38,0.000426439232409382
2001,39,0
2001,40,0
2002,0,0.0497287522603978
2002,1,0.06374321880651
2002,2,0.069620253164557
2002,3,0.0664556962025316
2002,4,0.0705244122965642
2002,5,0.06374321880651
2002,6,0.0574141048824593
2002,7,0.0556057866184449
2002,8,0.0560578661844485
2002,9,0.0456600361663653
2002,10,0.0402350813743219
2002,11,0.0293851717902351
2002,12,0.0357142857142857
2002,13,0.027124773960217
2002,14,0.027124773960217
2002,15,0.0280289330922242
2002,16,0.0203435804701628
2002,17,0.0275768535262206
2002,18,0.0207956600361664
2002,19,0.02124773960217
2002,20,0.0180831826401447
2002,21,0.015370705244123
2002,22,0.0162748643761302
2002,23,0.0135623869801085
2002,24,0.00949367088607595
2002,25,0.00858951175406872
2002,26,0.0054249547920434
2002,27,0.00406871609403255
2002,28,0.00406871609403255
2002,29,0.00768535262206148
2002,30,0.00406871609403255
2002,31,0.0027124773960217
2002,32,0.00226039783001808
2002,33,0.0027124773960217
2002,34,0.00226039783001808
2002,35,0.000452079566003617
2002,36,0.00135623869801085
2002,37,0.000452079566003617
2002,38,0.00226039783001808
2002,39,0.000904159132007233
2002,40,0.000904159132007233
2003,0,0.0460807600950119
2003,1,0.065083135391924
2003,2,0.072209026128266
2003,3,0.0641330166270784
2003,4,0.0679334916864608
2003,5,0.0836104513064133
2003,6,0.0598574821852732
2003,7,0.0522565320665083
2003,8,0.0394299287410926
2003,9,0.0342042755344418
2003,10,0.0503562945368171
2003,11,0.033729216152019
2003,12,0.031353919239905
2003,13,0.0318289786223278
2003,14,0.0237529691211401
2003,15,0.0251781472684086
2003,16,0.0242280285035629
2003,17,0.0199524940617577
2003,18,0.028978622327791
2003,19,0.0199524940617577
2003,20,0.0180522565320665
2003,21,0.0147268408551069
2003,22,0.0133016627078385
2003,23,0.0114014251781473
2003,24,0.0118764845605701
2003,25,0.00902612826603325
2003,26,0.00522565320665083
2003,27,0.00665083135391924
2003,28,0.00332541567695962
2003,29,0.00190023752969121
2003,30,0.00522565320665083
2003,31,0.00237529691211401
2003,32,0.00570071258907364
2003,33,0.00427553444180523
2003,34,0.00475059382422803
2003,35,0.00190023752969121
2003,36,0.00142517814726841
2003,37,0.00190023752969121
2003,38,0.00190023752969121
2003,39,0.000475059382422803
2003,40,0.000475059382422803
2004,0,0.0388746803069054
2004,1,0.0552429667519182
2004,2,0.0654731457800511
2004,3,0.0664961636828645
2004,4,0.0634271099744246
2004,5,0.0618925831202046
2004,6,0.0659846547314578
2004,7,0.0547314578005115
2004,8,0.0583120204603581
2004,9,0.0465473145780051
2004,10,0.0480818414322251
2004,11,0.040920716112532
2004,12,0.0312020460358056
2004,13,0.0271099744245524
2004,14,0.0281329923273657
2004,15,0.0235294117647059
2004,16,0.0219948849104859
2004,17,0.0240409207161125
2004,18,0.0179028132992327
2004,19,0.0184143222506394
2004,20,0.0219948849104859
2004,21,0.0138107416879795
2004,22,0.0132992327365729
2004,23,0.0184143222506394
2004,24,0.0107416879795396
2004,25,0.0107416879795396
2004,26,0.00664961636828645
2004,27,0.00818414322250639
2004,28,0.00358056265984655
2004,29,0.0061381074168798
2004,30,0.00358056265984655
2004,31,0.0020460358056266
2004,32,0.0061381074168798
2004,33,0.0020460358056266
2004,34,0.00562659846547315
2004,35,0.00153452685421995
2004,36,0.00153452685421995
2004,37,0.0020460358056266
2004,38,0.0010230179028133
2004,39,0.00051150895140665
2004,40,0.0020460358056266
2005,0,0.0401057734684883
2005,1,0.0520052886734244
2005,2,0.0634640810929925
2005,3,0.0590568532393125
2005,4,0.0630233583076245
2005,5,0.0700749228735126
2005,6,0.0599382988100485
2005,7,0.0528867342441604
2005,8,0.0475980608197444
2005,9,0.0489202291758484
2005,10,0.0467166152490084
2005,11,0.0379021595416483
2005,12,0.0348171000440723
2005,13,0.0414279418245923
2005,14,0.0260026443367122
2005,15,0.0237990304098722
2005,16,0.0251211987659762
2005,17,0.0215954164830322
2005,18,0.0189510797708242
2005,19,0.0233583076245042
2005,20,0.0202732481269282
2005,21,0.0176289114147201
2005,22,0.0158660202732481
2005,23,0.0163067430586161
2005,24,0.0136624063464081
2005,25,0.0127809607756721
2005,26,0.00617011899515205
2005,27,0.00617011899515205
2005,28,0.00484795063904804
2005,29,0.00396650506831203
2005,30,0.00572939620978405
2005,31,0.00484795063904804
2005,32,0.00132216835610401
2005,33,0.00308505949757603
2005,34,0.00132216835610401
2005,35,0.00132216835610401
2005,36,0.000440722785368004
2005,37,0.000440722785368004
2005,38,0.00264433671220802
2005,39,0.00132216835610401
2005,40,0.000881445570736007
2006,0,0.043826380109566
2006,1,0.0484618626211547
2006,2,0.0606826801517067
2006,3,0.0501474926253687
2006,4,0.0594184576485461
2006,5,0.0547829751369574
2006,6,0.0611040876527602
2006,7,0.0585756426464391
2006,8,0.0484618626211547
2006,9,0.056047197640118
2006,10,0.0526759376316899
2006,11,0.0467762326169406
2006,12,0.0375052675937632
2006,13,0.0303413400758534
2006,14,0.0311841550779604
2006,15,0.0286557100716393
2006,16,0.0282343025705858
2006,17,0.0248630425621576
2006,18,0.0151706700379267
2006,19,0.0189633375474083
2006,20,0.0248630425621576
2006,21,0.0168563000421408
2006,22,0.0181205225453013
2006,23,0.0147492625368732
2006,24,0.0168563000421408
2006,25,0.00800674252001686
2006,26,0.00716392751790982
2006,27,0.00505689001264223
2006,28,0.00337126000842815
2006,29,0.00379266750948167
2006,30,0.00379266750948167
2006,31,0.00337126000842815
2006,32,0.00337126000842815
2006,33,0.00337126000842815
